Experiment,Overall MSE,Overall MAE,Event MSE,Zero MSE,Rule Score,Overall Delta vs Baseline,Event Reduction vs Baseline,non_event_mse,non_event_mae,Alpha,Notes,Path
ettm1_rule_prior_alpha_025,0.30814144015312195,0.3542165160179138,0.6854112413193914,0.6854112413193914,0.6511425856473677,0.0036173672454273068,-0.1030850398273984,0.30169299244880676,0.3506794273853302,0.25,rule_prior_fusion,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_rule_prior_alpha_025_0
ettm1_rule_prior_alpha_05,0.3157895505428314,0.35928207635879517,1.1397284855917396,1.1397284855917396,0.6075705722425485,0.028527280076068865,-0.8342527319821708,0.3017064929008484,0.350786954164505,0.5,rule_prior_fusion,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_rule_prior_alpha_05_0
ettm1_rule_prior_alpha_05_plus_event_loss,0.38106125593185425,0.40771427750587463,1.0621789599221028,1.0621789599221028,0.6063910139816123,0.24111737209873887,-0.7094463143821054,0.3694193363189697,0.40065693855285645,0.5,"rule_prior_fusion, dataset_aware_loss",results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_rule_prior_alpha_05_plus_event_loss_0
ettm1_rule_prior_alpha_075,0.33001866936683655,0.36517366766929626,1.9904957120379163,1.9904957120379163,0.5062373596393114,0.07487155225599394,-2.203457879627121,0.3016369640827179,0.3507554233074188,0.75,rule_prior_fusion,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_rule_prior_alpha_075_0
ettm1_rule_prior_alpha_10,0.35081472992897034,0.3710794150829315,3.23633805532279,3.23633805532279,0.424819714141713,0.1426043685239837,-4.208487806209059,0.3014938235282898,0.3505932092666626,1.0,rule_prior_fusion,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_rule_prior_alpha_10_0
ettm1_rule_prior_dataset_aware_loss,0.3663480877876282,0.38734644651412964,0.4488643767341387,0.4488643767341387,0.6130116472076558,0.1931965501884832,0.2776080270674289,0.3649376332759857,0.3870861232280731,,dataset_aware_loss,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_rule_prior_dataset_aware_loss_0
ettm1_rule_prior_hard_intervention_diagnostic,0.35081472992897034,0.3710794150829315,3.236338297525791,3.236338297525791,0.424819714141713,0.1426043685239837,-4.208488196004982,0.3014938235282898,0.3505932092666626,,hard_intervention_diagnostic,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_rule_prior_hard_intervention_diagnostic_0
ettm1_rule_prior_intermediate_intervention,0.30139636993408203,0.34539228677749634,0.7057756090920522,0.7057756090920522,0.6296838177454944,-0.01835134170769009,-0.13585898352917325,0.29448458552360535,0.34207120537757874,,intermediate_intervention,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_rule_prior_intermediate_intervention_0
ettm1_rule_prior_output_rule_adapter,0.36563536524772644,0.4042348861694336,0.5890002780489995,0.5890002780489995,0.6270905347333349,0.19087521126465262,0.052076540327311696,0.36181753873825073,0.40304383635520935,,output_rule_adapter,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_rule_prior_output_rule_adapter_0
ettm1_rule_prior_pure_dlinear,0.3070307970046997,0.35280048847198486,0.6213584778800362,0.6213584778800362,0.5863107006437542,0.0,0.0,0.30165818333625793,0.35049569606781006,,pure_dlinear,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_rule_prior_pure_dlinear_0
